AccessionID,reason,collection_date,lineage
EPI_ISL_12228499,wastewater_or_cell_passaged,2021-05-13,B.1.1.7
EPI_ISL_12228500,wastewater_or_cell_passaged,2021-05-17,Q.3
EPI_ISL_12228501,wastewater_or_cell_passaged,2021-05-14,B.1.1.7
EPI_ISL_12228502,wastewater_or_cell_passaged,2021-04-30,B.1.1.7
EPI_ISL_12228503,wastewater_or_cell_passaged,2021-05-12,B.1.1.7
EPI_ISL_12228504,wastewater_or_cell_passaged,2021-05-20,B.1.1.7
EPI_ISL_12228505,wastewater_or_cell_passaged,2021-04-19,B.1.429
EPI_ISL_12228506,wastewater_or_cell_passaged,2021-04-20,B.1.429
EPI_ISL_12228507,wastewater_or_cell_passaged,2020-11-17,B.1.429
EPI_ISL_12240073,wastewater_or_cell_passaged,2021-03-22,XB
EPI_ISL_12312423,wastewater_or_cell_passaged,2021-01-30,B.1.1.7
EPI_ISL_12312424,wastewater_or_cell_passaged,2021-03-02,B.1.1.7
EPI_ISL_12312425,wastewater_or_cell_passaged,2021-03-04,B.1.351
EPI_ISL_12312426,wastewater_or_cell_passaged,2021-01-29,B.1.351
EPI_ISL_12312427,wastewater_or_cell_passaged,2021-02-05,P.1
EPI_ISL_12312428,wastewater_or_cell_passaged,2021-04-19,B.1.617.2
EPI_ISL_12312429,wastewater_or_cell_passaged,2021-04-09,B.1.427
EPI_ISL_12312430,wastewater_or_cell_passaged,2021-04-19,B.1.429
EPI_ISL_12312431,wastewater_or_cell_passaged,2021-04-01,B.1.526
EPI_ISL_12312433,wastewater_or_cell_passaged,2021-04-01,P.2
EPI_ISL_12332030,wastewater_or_cell_passaged,2021-04-23,B.1.1.7
EPI_ISL_12386707,wastewater_or_cell_passaged,2021-10-01,AY.29
EPI_ISL_12386708,wastewater_or_cell_passaged,2021-10-06,AY.29
EPI_ISL_12413883,wastewater_or_cell_passaged,2022-01-13,AY.29
EPI_ISL_12665831,wastewater_or_cell_passaged,2020-12-03,B.1.1.398
EPI_ISL_12665832,wastewater_or_cell_passaged,2020-10-22,B.1.1
EPI_ISL_12666626,wastewater_or_cell_passaged,2021-07-20,AY.23
EPI_ISL_12667100,wastewater_or_cell_passaged,2021-12-10,AY.57
EPI_ISL_12667336,wastewater_or_cell_passaged,2022-01-07,BA.2
EPI_ISL_12694793,wastewater_or_cell_passaged,2022-04-04,B.1
EPI_ISL_12694869,wastewater_or_cell_passaged,2021-08-04,B.1.1.33
EPI_ISL_12722048,wastewater_or_cell_passaged,2020-12-04,B.1.497
EPI_ISL_12722051,wastewater_or_cell_passaged,2020-12-16,B.1.497
EPI_ISL_12748381,wastewater_or_cell_passaged,2022-02-21,BA.2
EPI_ISL_12851309,wastewater_or_cell_passaged,2021-04-26,B.1.617.2
EPI_ISL_12851313,wastewater_or_cell_passaged,2021-04-26,B.1.617.2
EPI_ISL_12851519,wastewater_or_cell_passaged,2021-04-26,B.1.617.2
EPI_ISL_1296293,wastewater_or_cell_passaged,2021-03-11,B.1.1.7
EPI_ISL_13086512,wastewater_or_cell_passaged,2022-01-07,BA.2
EPI_ISL_13086513,wastewater_or_cell_passaged,2022-03-21,BA.2.3
EPI_ISL_13086514,wastewater_or_cell_passaged,2022-04-19,BA.2.12.1
EPI_ISL_13086517,wastewater_or_cell_passaged,2021-08-19,AY.69
EPI_ISL_13086518,wastewater_or_cell_passaged,2020-03-29,B.1
EPI_ISL_13199523,wastewater_or_cell_passaged,2022-01-07,BA.2
EPI_ISL_13234974,wastewater_or_cell_passaged,2021-08-06,AY.23
EPI_ISL_13234975,wastewater_or_cell_passaged,2021-08-06,AY.23
EPI_ISL_13234976,wastewater_or_cell_passaged,2021-12-10,AY.30
EPI_ISL_13352787,wastewater_or_cell_passaged,2021-01-12,B.1.243
EPI_ISL_13352788,wastewater_or_cell_passaged,2020-05-01,B.1.397
EPI_ISL_13566006,wastewater_or_cell_passaged,2021-04-23,B.1.1.7
EPI_ISL_13578728,wastewater_or_cell_passaged,2021-05-07,B.1.1.7
EPI_ISL_13578729,wastewater_or_cell_passaged,2021-05-12,B.1.1.7
EPI_ISL_13578730,wastewater_or_cell_passaged,2021-05-12,B.1.1.7
EPI_ISL_13578731,wastewater_or_cell_passaged,2021-05-13,B.1.1.7
EPI_ISL_13578732,wastewater_or_cell_passaged,2021-05-14,B.1.1.7
EPI_ISL_13578733,wastewater_or_cell_passaged,2021-05-14,B.1.1.7
EPI_ISL_13578734,wastewater_or_cell_passaged,2021-05-14,B.1.1.7
EPI_ISL_13578735,wastewater_or_cell_passaged,2021-05-14,B.1.1.7
EPI_ISL_13578736,wastewater_or_cell_passaged,2021-05-14,B.1.1.7
EPI_ISL_13578737,wastewater_or_cell_passaged,2021-05-14,B.1.1.7
EPI_ISL_13578738,wastewater_or_cell_passaged,2021-06-16,B.1.1.7
EPI_ISL_13578739,wastewater_or_cell_passaged,2021-06-17,B.1.1.7
EPI_ISL_13578740,wastewater_or_cell_passaged,2021-06-17,B.1.1.7
EPI_ISL_13578741,wastewater_or_cell_passaged,2021-06-17,B.1.1.7
EPI_ISL_13603369,wastewater_or_cell_passaged,2022-01-07,BA.2
EPI_ISL_13603370,wastewater_or_cell_passaged,2022-01-07,BA.2
EPI_ISL_1366083,wastewater_or_cell_passaged,2020-05-19,B.1.470
EPI_ISL_1366238,wastewater_or_cell_passaged,2020-05-19,B.1
EPI_ISL_13666089,wastewater_or_cell_passaged,2021-03-17,B.1.1.7
EPI_ISL_13777453,wastewater_or_cell_passaged,2022-01-07,BA.2
EPI_ISL_13777454,wastewater_or_cell_passaged,2022-01-07,BA.2
EPI_ISL_13782458,wastewater_or_cell_passaged,2021-08-31,B.1.1.7
EPI_ISL_13782667,wastewater_or_cell_passaged,2021-08-31,AY.122
EPI_ISL_1379435,wastewater_or_cell_passaged,2020-11-10,B.1.1
EPI_ISL_13857808,wastewater_or_cell_passaged,2020-12-24,B.1.1
EPI_ISL_13857809,wastewater_or_cell_passaged,2020-12-24,B.1.1.354
EPI_ISL_13857810,wastewater_or_cell_passaged,2020-12-24,B.1.1.354
EPI_ISL_13857811,wastewater_or_cell_passaged,2020-12-24,B.1.36.29
EPI_ISL_13857812,wastewater_or_cell_passaged,2020-12-24,B.1.1.354
EPI_ISL_13857813,wastewater_or_cell_passaged,2020-12-24,B.1.36.29
EPI_ISL_13857814,wastewater_or_cell_passaged,2020-12-26,B.1.1.306
EPI_ISL_13857815,wastewater_or_cell_passaged,2020-12-26,B.1.1.306
EPI_ISL_13857816,wastewater_or_cell_passaged,2020-12-28,B.1.1.7
EPI_ISL_13857817,wastewater_or_cell_passaged,2020-12-28,B.1.1.7
EPI_ISL_13857818,wastewater_or_cell_passaged,2020-12-31,B.1.1.7
EPI_ISL_13857819,wastewater_or_cell_passaged,2020-06-15,B.4
EPI_ISL_13857821,wastewater_or_cell_passaged,2020-12-24,B.1.1
EPI_ISL_13857822,wastewater_or_cell_passaged,2021-01-28,B.1.36
EPI_ISL_13857824,wastewater_or_cell_passaged,2021-01-28,B.1.36.29
EPI_ISL_13857827,wastewater_or_cell_passaged,2021-02-05,B.1.36
EPI_ISL_13857828,wastewater_or_cell_passaged,2021-02-08,B.1.1
EPI_ISL_13857829,wastewater_or_cell_passaged,2021-02-08,B.1.466.1
EPI_ISL_13857830,wastewater_or_cell_passaged,2021-02-15,B.1.36.29
EPI_ISL_13857831,wastewater_or_cell_passaged,2021-02-16,B.1.36.29
EPI_ISL_13857832,wastewater_or_cell_passaged,2021-02-15,B.1.36.29
EPI_ISL_13857836,wastewater_or_cell_passaged,2021-02-11,B.1
EPI_ISL_13857837,wastewater_or_cell_passaged,2021-02-17,B.1.1.326
EPI_ISL_13857839,wastewater_or_cell_passaged,2021-02-10,B.1.617.1
EPI_ISL_13857840,wastewater_or_cell_passaged,2021-08-05,B.1.36.29
EPI_ISL_13857842,wastewater_or_cell_passaged,2021-02-17,B.1.1.326
EPI_ISL_13857843,wastewater_or_cell_passaged,2021-01-10,P.2
EPI_ISL_13857844,wastewater_or_cell_passaged,2021-01-10,P.2
EPI_ISL_13857845,wastewater_or_cell_passaged,2021-01-10,P.2
EPI_ISL_13857847,wastewater_or_cell_passaged,2021-01-10,P.2
EPI_ISL_13857849,wastewater_or_cell_passaged,2021-05-06,B.1.1.7
EPI_ISL_13857852,wastewater_or_cell_passaged,2021-02-15,B.1.36.29
EPI_ISL_13857853,wastewater_or_cell_passaged,2021-02-15,B.1.36.29
EPI_ISL_13857854,wastewater_or_cell_passaged,2021-02-15,B.1.617.1
EPI_ISL_13857855,wastewater_or_cell_passaged,2021-03-05,B.1.36
EPI_ISL_13857856,wastewater_or_cell_passaged,2021-03-02,B.1.2
EPI_ISL_13857857,wastewater_or_cell_passaged,2021-02-20,B.1.1.306
EPI_ISL_13857858,wastewater_or_cell_passaged,2021-02-20,B.1.1.306
EPI_ISL_13857859,wastewater_or_cell_passaged,2021-02-15,B.1.1
EPI_ISL_13857860,wastewater_or_cell_passaged,2021-02-15,B.1.1
EPI_ISL_13857861,wastewater_or_cell_passaged,2021-02-15,B.1.1
EPI_ISL_13857863,wastewater_or_cell_passaged,2021-02-16,B.1.1.216
EPI_ISL_13857864,wastewater_or_cell_passaged,2021-01-30,B.1.617.1
EPI_ISL_13857866,wastewater_or_cell_passaged,2021-02-21,B.1.1.7
EPI_ISL_13857867,wastewater_or_cell_passaged,2021-02-21,B.1.1.318
EPI_ISL_13857869,wastewater_or_cell_passaged,2021-01-28,B.1.2
EPI_ISL_13857870,wastewater_or_cell_passaged,2021-02-21,B.1.36
EPI_ISL_13857871,wastewater_or_cell_passaged,2021-03-16,B.1.466.2
EPI_ISL_13857872,wastewater_or_cell_passaged,2021-03-16,B.1.1.318
EPI_ISL_13857873,wastewater_or_cell_passaged,2021-03-16,B.1.1.420
EPI_ISL_13857874,wastewater_or_cell_passaged,2021-03-16,B.1.1.318
EPI_ISL_13857877,wastewater_or_cell_passaged,2021-03-16,B.1.1.7
EPI_ISL_13857878,wastewater_or_cell_passaged,2021-03-16,B.1.1.7
EPI_ISL_13857879,wastewater_or_cell_passaged,2021-03-06,B.1.1.306
EPI_ISL_13857880,wastewater_or_cell_passaged,2021-03-06,B.1.1.7
EPI_ISL_13857881,wastewater_or_cell_passaged,2021-03-05,B.1.1.7
EPI_ISL_13857882,wastewater_or_cell_passaged,2021-03-09,B.1.1.306
EPI_ISL_13857883,wastewater_or_cell_passaged,2021-03-06,B.1.1.7
EPI_ISL_13857884,wastewater_or_cell_passaged,2021-03-05,B.1.1.306
EPI_ISL_13857886,wastewater_or_cell_passaged,2021-03-20,B.1.1.7
EPI_ISL_13857887,wastewater_or_cell_passaged,2021-03-21,B.1.1.318
EPI_ISL_13857888,wastewater_or_cell_passaged,2021-03-21,B.1.1.525
EPI_ISL_13857889,wastewater_or_cell_passaged,2021-03-21,B.1.1.7
EPI_ISL_13857890,wastewater_or_cell_passaged,2021-03-23,B.1.1.7
EPI_ISL_13857891,wastewater_or_cell_passaged,2021-03-23,B.1.525
EPI_ISL_13857893,wastewater_or_cell_passaged,2021-03-24,B.1.1.7
EPI_ISL_13857894,wastewater_or_cell_passaged,2021-03-24,B.1.526
EPI_ISL_13857895,wastewater_or_cell_passaged,2021-04-20,B.1.617.1
EPI_ISL_13857898,wastewater_or_cell_passaged,2021-02-20,B.1.1.354
EPI_ISL_13857899,wastewater_or_cell_passaged,2021-01-01,B.1.1.216
EPI_ISL_13857900,wastewater_or_cell_passaged,2021-12-17,B.1.1
EPI_ISL_13857901,wastewater_or_cell_passaged,2021-12-16,B.1.1.354
EPI_ISL_13857902,wastewater_or_cell_passaged,2021-12-16,B.1.1.354
EPI_ISL_13857903,wastewater_or_cell_passaged,2021-02-15,B.1.1
EPI_ISL_13857904,wastewater_or_cell_passaged,2021-02-15,B.1.1
EPI_ISL_13857905,wastewater_or_cell_passaged,2021-03-21,B.1.617.2
EPI_ISL_13857906,wastewater_or_cell_passaged,2021-02-27,B.1.1.7
EPI_ISL_13857909,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857910,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857911,wastewater_or_cell_passaged,2021-04-14,B.1.617.2
EPI_ISL_13857912,wastewater_or_cell_passaged,2021-04-14,B.1.617.2
EPI_ISL_13857913,wastewater_or_cell_passaged,2021-04-13,B.1.617.2
EPI_ISL_13857916,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857917,wastewater_or_cell_passaged,2021-04-14,B.1.617.2
EPI_ISL_13857918,wastewater_or_cell_passaged,2021-04-10,B.1.617.2
EPI_ISL_13857919,wastewater_or_cell_passaged,2021-04-13,B.1.617.2
EPI_ISL_13857920,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857922,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857923,wastewater_or_cell_passaged,2021-04-14,B.1.617.2
EPI_ISL_13857924,wastewater_or_cell_passaged,2021-04-10,B.1.617.2
EPI_ISL_13857925,wastewater_or_cell_passaged,2021-04-13,B.1.617.2
EPI_ISL_13857929,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857930,wastewater_or_cell_passaged,2021-04-14,B.1.617.2
EPI_ISL_13857932,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857933,wastewater_or_cell_passaged,2021-04-14,B.1.617.2
EPI_ISL_13857935,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857936,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857944,wastewater_or_cell_passaged,2021-10-04,B.1.617.2
EPI_ISL_13857945,wastewater_or_cell_passaged,2021-01-01,B.1.1.216
EPI_ISL_13857948,wastewater_or_cell_passaged,2021-03-02,B.1.1.420
EPI_ISL_13857949,wastewater_or_cell_passaged,2021-03-16,B.1.1.7
EPI_ISL_13857950,wastewater_or_cell_passaged,2021-03-16,B.1.1.318
EPI_ISL_13857982,wastewater_or_cell_passaged,2021-04-14,B.1.617.2
EPI_ISL_13857984,wastewater_or_cell_passaged,2021-03-23,B.1.351
EPI_ISL_13858636,wastewater_or_cell_passaged,2021-05-25,B.1.617.2
EPI_ISL_13864585,wastewater_or_cell_passaged,2020-11-21,B.1.1.214
EPI_ISL_13864586,wastewater_or_cell_passaged,2020-11-19,B.1.1.284
EPI_ISL_13864587,wastewater_or_cell_passaged,2020-11-19,B.1.1.214
EPI_ISL_13864588,wastewater_or_cell_passaged,2020-11-20,B.1.1.284
EPI_ISL_13864589,wastewater_or_cell_passaged,2020-11-20,B.1.1.214
EPI_ISL_13909167,Omicron before Sep 2021,2021-06-30,BA.2.9
EPI_ISL_13993571,wastewater_or_cell_passaged,2020-09-21,B.1.1.7
EPI_ISL_13993573,wastewater_or_cell_passaged,2020-09-21,B.1.1.7
EPI_ISL_13993574,wastewater_or_cell_passaged,2020-09-21,B.1.1.7
EPI_ISL_13993579,wastewater_or_cell_passaged,2020-09-21,B.1.1.7
EPI_ISL_13993581,wastewater_or_cell_passaged,2020-12-21,B.1.1.7
EPI_ISL_13993583,wastewater_or_cell_passaged,2020-12-21,B.1.1.7
EPI_ISL_13993586,wastewater_or_cell_passaged,2020-12-21,B.1.1.7
EPI_ISL_13993588,wastewater_or_cell_passaged,2020-12-21,B.1.1.7
EPI_ISL_13993598,wastewater_or_cell_passaged,2021-03-21,B.1.1.7
EPI_ISL_14327819,wastewater_or_cell_passaged,2021-11-15,AY.4
EPI_ISL_14442297,wastewater_or_cell_passaged,2021-10-01,AY.29
EPI_ISL_14442298,wastewater_or_cell_passaged,2021-10-02,AY.29
EPI_ISL_14442299,wastewater_or_cell_passaged,2021-10-10,AY.29
EPI_ISL_14442300,wastewater_or_cell_passaged,2021-10-05,AY.29
EPI_ISL_14442301,wastewater_or_cell_passaged,2021-10-25,AY.29
EPI_ISL_14442302,wastewater_or_cell_passaged,2021-10-12,AY.29
EPI_ISL_14442303,wastewater_or_cell_passaged,2021-10-15,AY.29
EPI_ISL_14442304,wastewater_or_cell_passaged,2021-10-15,AY.29
EPI_ISL_14507613,wastewater_or_cell_passaged,2022-07-21,BA.2.75
EPI_ISL_1455674,wastewater_or_cell_passaged,2021-03-17,B.1.1.7
EPI_ISL_1469290,wastewater_or_cell_passaged,2020-12-25,B.1.470
EPI_ISL_1469291,wastewater_or_cell_passaged,2020-12-26,B.1.2
EPI_ISL_14769900,wastewater_or_cell_passaged,2022-03-22,BA.2.10.1
EPI_ISL_14818676,wastewater_or_cell_passaged,2021-08-06,AY.113
EPI_ISL_14900779,wastewater_or_cell_passaged,2020-12-15,B.1.2
EPI_ISL_14900780,wastewater_or_cell_passaged,2020-12-19,B.1.2
EPI_ISL_14900781,wastewater_or_cell_passaged,2020-12-19,B.1.2
EPI_ISL_14900782,wastewater_or_cell_passaged,2021-01-02,B.1.2
EPI_ISL_15023202,wastewater_or_cell_passaged,2022-02-28,BA.2.9
EPI_ISL_15038833,wastewater_or_cell_passaged,2022-09-13,BA.4
EPI_ISL_15038834,wastewater_or_cell_passaged,2022-09-12,BA.5.3.2
EPI_ISL_15073955,wastewater_or_cell_passaged,2022-08-29,BA.2.75.1
EPI_ISL_15085530,wastewater_or_cell_passaged,2022-03-03,BA.2.9
EPI_ISL_15250227,wastewater_or_cell_passaged,2021-10-20,AY.4
EPI_ISL_15315727,wastewater_or_cell_passaged,2022-08-31,BA.2.75.2
EPI_ISL_15479419,wastewater_or_cell_passaged,2021-08-24,AY.29
EPI_ISL_15479420,wastewater_or_cell_passaged,2021-08-24,AY.29
EPI_ISL_15492872,wastewater_or_cell_passaged,2022-08-31,BS.1
EPI_ISL_15492874,wastewater_or_cell_passaged,2022-08-17,BF.5
EPI_ISL_15515008,wastewater_or_cell_passaged,2020-05-21,B.1.1.33
EPI_ISL_15541746,wastewater_or_cell_passaged,2020-10-06,B.1.1.273
EPI_ISL_15541748,wastewater_or_cell_passaged,2020-11-03,B.1.1.273
EPI_ISL_15581079,wastewater_or_cell_passaged,2022-09-14,BS.1.1
EPI_ISL_15661432,wastewater_or_cell_passaged,2021-05-05,B.1.617.2
EPI_ISL_15661433,wastewater_or_cell_passaged,2022-01-27,BA.2.10
EPI_ISL_15831900,wastewater_or_cell_passaged,2022-07-04,BA.2.3.13
EPI_ISL_15848414,wastewater_or_cell_passaged,2022-06-03,XAP
EPI_ISL_15848736,wastewater_or_cell_passaged,2022-10-08,BQ.1.1
EPI_ISL_15971077,wastewater_or_cell_passaged,2021-04-28,B.1.1.7
EPI_ISL_15977585,Gamma before Sep 2020,2020-04-29,P.1
EPI_ISL_16047957,wastewater_or_cell_passaged,2022-07-18,BA.2.3.7
EPI_ISL_16119641,wastewater_or_cell_passaged,2022-09-28,BM.1.1.3
EPI_ISL_16119646,wastewater_or_cell_passaged,2022-09-29,BA.2.3.20
EPI_ISL_16119647,wastewater_or_cell_passaged,2022-09-29,BA.2.76
EPI_ISL_16119649,wastewater_or_cell_passaged,2022-09-30,BL.1
EPI_ISL_16119658,wastewater_or_cell_passaged,2022-10-01,BA.2.3.20
EPI_ISL_16119678,wastewater_or_cell_passaged,2022-10-11,BR.2.1
EPI_ISL_16119681,wastewater_or_cell_passaged,2022-10-12,BM.1.1
EPI_ISL_16119688,wastewater_or_cell_passaged,2022-10-10,BA.2.75.2
EPI_ISL_16119693,wastewater_or_cell_passaged,2022-10-11,BR.2.1
EPI_ISL_16119698,wastewater_or_cell_passaged,2022-10-11,BA.2.3.20
EPI_ISL_16119704,wastewater_or_cell_passaged,2022-10-12,BA.2.75.2
EPI_ISL_16119719,wastewater_or_cell_passaged,2022-10-14,BA.5.2.1
EPI_ISL_16119731,wastewater_or_cell_passaged,2022-10-14,BR.1
EPI_ISL_16119733,wastewater_or_cell_passaged,2022-10-15,BA.2.75.1
EPI_ISL_16119741,wastewater_or_cell_passaged,2022-11-10,XBF
EPI_ISL_16119742,wastewater_or_cell_passaged,2022-11-10,BN.1.3
EPI_ISL_16119743,wastewater_or_cell_passaged,2022-11-10,BR.2.1
EPI_ISL_16119747,wastewater_or_cell_passaged,2022-11-10,XBF
EPI_ISL_16119749,wastewater_or_cell_passaged,2022-11-09,BR.2.1
EPI_ISL_16119750,wastewater_or_cell_passaged,2022-11-07,BR.2.1
EPI_ISL_16119755,wastewater_or_cell_passaged,2022-11-09,BR.2.1
EPI_ISL_16119756,wastewater_or_cell_passaged,2022-11-09,BN.1.3
EPI_ISL_16119758,wastewater_or_cell_passaged,2022-11-09,BR.2.1
EPI_ISL_16119759,wastewater_or_cell_passaged,2022-11-11,BR.2.1
EPI_ISL_16119761,wastewater_or_cell_passaged,2022-11-11,BN.1.3
EPI_ISL_16119763,wastewater_or_cell_passaged,2022-11-11,BN.1
EPI_ISL_16119767,wastewater_or_cell_passaged,2022-11-12,BN.1.3
EPI_ISL_16119768,wastewater_or_cell_passaged,2022-11-12,XBB.2.8
EPI_ISL_16119773,wastewater_or_cell_passaged,2022-11-12,CM.3
EPI_ISL_16119774,wastewater_or_cell_passaged,2022-11-12,BR.2.1
EPI_ISL_16119776,wastewater_or_cell_passaged,2022-11-12,BR.2.1
EPI_ISL_16119777,wastewater_or_cell_passaged,2022-11-12,XBB.2.8
EPI_ISL_16119779,wastewater_or_cell_passaged,2022-11-13,BR.2.1
EPI_ISL_16119786,wastewater_or_cell_passaged,2022-11-14,BN.1.3
EPI_ISL_16119788,wastewater_or_cell_passaged,2022-11-14,BN.1.2.2
EPI_ISL_16119790,wastewater_or_cell_passaged,2022-11-15,BN.1.2.3
EPI_ISL_16119791,wastewater_or_cell_passaged,2022-11-15,BR.2.1
EPI_ISL_16119793,wastewater_or_cell_passaged,2022-11-15,BR.2.1
EPI_ISL_16119794,wastewater_or_cell_passaged,2022-11-15,XBF.3
EPI_ISL_16119795,wastewater_or_cell_passaged,2022-11-15,BY.1
EPI_ISL_16119796,wastewater_or_cell_passaged,2022-11-15,BY.1
EPI_ISL_16122141,wastewater_or_cell_passaged,2022-04-28,BA.2
EPI_ISL_16271917,wastewater_or_cell_passaged,2020-08-19,B.1.497
EPI_ISL_16271918,wastewater_or_cell_passaged,2020-09-04,B.1.497
EPI_ISL_16271921,wastewater_or_cell_passaged,2020-11-29,B.1.497
EPI_ISL_16271922,wastewater_or_cell_passaged,2020-11-30,B.1.497
EPI_ISL_16271924,wastewater_or_cell_passaged,2020-12-04,B.1.497
EPI_ISL_16271926,wastewater_or_cell_passaged,2020-12-08,B.1.497
EPI_ISL_16271927,wastewater_or_cell_passaged,2020-12-10,B.1.497
EPI_ISL_16271928,wastewater_or_cell_passaged,2020-12-13,B.1.497
EPI_ISL_16271929,wastewater_or_cell_passaged,2021-02-02,B.1.497
EPI_ISL_16271930,wastewater_or_cell_passaged,2021-02-21,B.1.497
EPI_ISL_16271931,wastewater_or_cell_passaged,2021-03-08,B.1.497
EPI_ISL_16271933,wastewater_or_cell_passaged,2021-03-22,B.1.497
EPI_ISL_16271936,wastewater_or_cell_passaged,2021-04-11,B.1.1.7
EPI_ISL_16271937,wastewater_or_cell_passaged,2021-04-11,B.1.1.7
EPI_ISL_16271939,wastewater_or_cell_passaged,2021-04-13,B.1.429
EPI_ISL_16271940,wastewater_or_cell_passaged,2021-05-01,B.1.1.7
EPI_ISL_16271941,wastewater_or_cell_passaged,2021-05-02,B.1.1.7
EPI_ISL_16271942,wastewater_or_cell_passaged,2021-06-25,AY.69
EPI_ISL_16271944,wastewater_or_cell_passaged,2021-08-02,AY.69
EPI_ISL_16271945,wastewater_or_cell_passaged,2021-08-20,AY.69
EPI_ISL_16271946,wastewater_or_cell_passaged,2021-12-05,AY.69
EPI_ISL_16271960,wastewater_or_cell_passaged,2022-04-14,BA.2
EPI_ISL_16299728,wastewater_or_cell_passaged,2022-10-01,BA.2.75.5
EPI_ISL_16299729,wastewater_or_cell_passaged,2022-10-01,BA.2.75.5
EPI_ISL_16299734,wastewater_or_cell_passaged,2022-11-13,BN.1.9
EPI_ISL_16299735,wastewater_or_cell_passaged,2022-11-18,XBD
EPI_ISL_16314500,wastewater_or_cell_passaged,2021-05-20,P.1
EPI_ISL_16314501,wastewater_or_cell_passaged,2020-08-18,B.1.420
EPI_ISL_16314502,wastewater_or_cell_passaged,2021-10-09,AY.25.1
EPI_ISL_16314504,wastewater_or_cell_passaged,2021-04-12,B.1.621
EPI_ISL_16314505,wastewater_or_cell_passaged,2020-03-11,A.1
EPI_ISL_16314506,wastewater_or_cell_passaged,2020-12-30,B.1.111
EPI_ISL_16314507,wastewater_or_cell_passaged,2020-08-18,B.1.111
EPI_ISL_16342298,wastewater_or_cell_passaged,2022-11-14,BL.1
EPI_ISL_16405158,wastewater_or_cell_passaged,2021-03-25,B.1.351
EPI_ISL_16405160,wastewater_or_cell_passaged,2021-04-24,B.1.1.7
EPI_ISL_16465138,wastewater_or_cell_passaged,2021-08-12,B.1.617.2
EPI_ISL_16471233,Omicron before Sep 2021,2020-11-13,BA.2.3.5
EPI_ISL_16744347,wastewater_or_cell_passaged,2022-12-02,CH.1.1
EPI_ISL_16765646,wastewater_or_cell_passaged,2022-06-28,BF.31
EPI_ISL_16833248,wastewater_or_cell_passaged,2020-04-19,B.1
EPI_ISL_16849774,wastewater_or_cell_passaged,2022-02-18,BA.2
EPI_ISL_16852231,wastewater_or_cell_passaged,2023-01-01,BN.1.11
EPI_ISL_16984907,wastewater_or_cell_passaged,2022-09-12,BA.2.75.1
EPI_ISL_16984908,wastewater_or_cell_passaged,2022-09-16,BA.2.75.1
EPI_ISL_16984909,wastewater_or_cell_passaged,2022-09-19,BA.2.75.1
EPI_ISL_17009984,wastewater_or_cell_passaged,2023-01-12,BQ.1.1
EPI_ISL_17009985,wastewater_or_cell_passaged,2023-01-12,BQ.1.1
EPI_ISL_1702301,wastewater_or_cell_passaged,2020-11-23,B.1.258
EPI_ISL_17024804,wastewater_or_cell_passaged,2022-12-03,CH.1.1.11
EPI_ISL_17068772,wastewater_or_cell_passaged,2021-04-22,B.1.617.2
EPI_ISL_17075492,wastewater_or_cell_passaged,2022-11-30,XBB.1
EPI_ISL_17205252,wastewater_or_cell_passaged,2023-01-21,CH.1.1
EPI_ISL_17206440,wastewater_or_cell_passaged,2021-09-07,AY.118
EPI_ISL_17206441,wastewater_or_cell_passaged,2021-09-13,AY.44
EPI_ISL_17206442,wastewater_or_cell_passaged,2021-07-25,AY.117
EPI_ISL_17206443,wastewater_or_cell_passaged,2021-08-04,AY.44
EPI_ISL_17206444,wastewater_or_cell_passaged,2021-06-04,B.1.1.7
EPI_ISL_17206445,wastewater_or_cell_passaged,2021-08-05,AY.103
EPI_ISL_17206446,wastewater_or_cell_passaged,2021-08-20,AY.44
EPI_ISL_17206447,wastewater_or_cell_passaged,2021-09-10,AY.3.3
EPI_ISL_17206448,wastewater_or_cell_passaged,2021-09-07,AY.44
EPI_ISL_17206449,wastewater_or_cell_passaged,2021-09-14,AY.47
EPI_ISL_17206450,wastewater_or_cell_passaged,2021-07-25,AY.117
EPI_ISL_17206451,wastewater_or_cell_passaged,2021-08-06,AY.117
EPI_ISL_17206452,wastewater_or_cell_passaged,2021-06-05,AY.117
EPI_ISL_17206453,wastewater_or_cell_passaged,2021-08-08,AY.44
EPI_ISL_17206454,wastewater_or_cell_passaged,2021-08-20,AY.44
EPI_ISL_17206455,wastewater_or_cell_passaged,2021-07-25,AY.117
EPI_ISL_17206456,wastewater_or_cell_passaged,2021-09-07,AY.25
EPI_ISL_17206457,wastewater_or_cell_passaged,2021-09-14,AY.44
EPI_ISL_17206458,wastewater_or_cell_passaged,2021-08-02,AY.44
EPI_ISL_17206459,wastewater_or_cell_passaged,2021-08-03,AY.25
